country_name,flag_image_path,continent
Algeria,assets/flags/africa/algeria.png,Africa
Angola,assets/flags/africa/angola.png,Africa
Benin,assets/flags/africa/benin.png,Africa
Botswana,assets/flags/africa/botswana.png,Africa
Burkina Faso,assets/flags/africa/burkina_faso.png,Africa
Burundi,assets/flags/africa/burundi.png,Africa
Central African Republic,assets/flags/africa/central_african_republic.png,Africa
Cameroon,assets/flags/africa/cameroon.png,Africa
Cape Verde,assets/flags/africa/cape_verde.png,Africa
Chad,assets/flags/africa/chad.png,Africa
Comoros,assets/flags/africa/comoros.png,Africa
Djibouti,assets/flags/africa/djibouti.png,Africa
Egypt,assets/flags/africa/egypt.png,Africa
Equatorial Guinea,assets/flags/africa/equatorial_guinea.png,Africa
Eritrea,assets/flags/africa/eritrea.png,Africa
Ethiopia,assets/flags/africa/ethiopia.png,Africa
Gabon,assets/flags/africa/gabon.png,Africa
Gambia,assets/flags/africa/gambia.png,Africa
Ghana,assets/flags/africa/ghana.png,Africa
Guinea,assets/flags/africa/guinea.png,Africa
Guinea Bissau,assets/flags/africa/guinea_bissau.png,Africa
Ivory Coast,assets/flags/africa/ivory_coast.png,Africa
Kenya,assets/flags/africa/kenya.png,Africa
Lesotho,assets/flags/africa/lesotho.png,Africa
Liberia,assets/flags/africa/liberia.png,Africa
Libya,assets/flags/africa/libya.png,Africa
Madagascar,assets/flags/africa/madagascar.png,Africa
Malawi,assets/flags/africa/malawi.png,Africa
Mali,assets/flags/africa/mali.png,Africa
Mauritania,assets/flags/africa/mauritania.png,Africa
Mauritius,assets/flags/africa/mauritius.png,Africa
Morocco,assets/flags/africa/morocco.png,Africa
Mozambique,assets/flags/africa/mozambique.png,Africa
Namibia,assets/flags/africa/namibia.png,Africa
Niger,assets/flags/africa/niger.png,Africa
Nigeria,assets/flags/africa/nigeria.png,Africa
Republic Of Congo,assets/flags/africa/republic_of_congo.png,Africa
Rwanda,assets/flags/africa/rwanda.png,Africa
Sao Tome and Principe,assets/flags/africa/sao_tome_and_principe.png,Africa
Senegal,assets/flags/africa/senegal.png,Africa
Seychelles,assets/flags/africa/seychelles.png,Africa
Sierra Leone,assets/flags/africa/sierra_leone.png,Africa
Somalia,assets/flags/africa/somalia.png,Africa
South Africa,assets/flags/africa/south_africa.png,Africa
Sudan,assets/flags/africa/sudan.png,Africa
Eswatini,assets/flags/africa/eswatini.png,Africa
Tanzania,assets/flags/africa/tanzania.png,Africa
Togo,assets/flags/africa/togo.png,Africa
Tunisia,assets/flags/africa/tunisia.png,Africa
Uganda,assets/flags/africa/uganda.png,Africa
Zambia,assets/flags/africa/zambia.png,Africa
Zimbabwe,assets/flags/africa/zimbabwe.png,Africa
Democratic Republic of Congo,assets/flags/africa/democratic_republic_of_congo.png,Africa
Afghanistan,assets/flags/asia/afghanistan.png,Asia
Armenia,assets/flags/asia/armenia.png,Asia
Azerbaijan,assets/flags/asia/azerbaijan.png,Asia
Bahrain,assets/flags/asia/bahrain.png,Asia
Bangladesh,assets/flags/asia/bangladesh.png,Asia
Bhutan,assets/flags/asia/bhutan.png,Asia
Brunei,assets/flags/asia/brunei.png,Asia
Cambodia,assets/flags/asia/cambodia.png,Asia
China,assets/flags/asia/china.png,Asia
Georgia,assets/flags/asia/georgia.png,Asia
Hong Kong,assets/flags/asia/hong_kong.png,Asia
India,assets/flags/asia/india.png,Asia
Indonesia,assets/flags/asia/indonesia.png,Asia
Iran,assets/flags/asia/iran.png,Asia
Iraq,assets/flags/asia/iraq.png,Asia
Israel,assets/flags/asia/israel.png,Asia
Japan,assets/flags/asia/japan.png,Asia
Jordan,assets/flags/asia/jordan.png,Asia
Kazakhstan,assets/flags/asia/kazakhstan.png,Asia
Kuwait,assets/flags/asia/kuwait.png,Asia
Kyrgyzstan,assets/flags/asia/kyrgyzstan.png,Asia
Laos,assets/flags/asia/laos.png,Asia
Lebanon,assets/flags/asia/lebanon.png,Asia
Malaysia,assets/flags/asia/malaysia.png,Asia
Maldives,assets/flags/asia/maldives.png,Asia
Mongolia,assets/flags/asia/mongolia.png,Asia
Myanmar,assets/flags/asia/myanmar.png,Asia
Nepal,assets/flags/asia/nepal.png,Asia
North Korea,assets/flags/asia/north_korea.png,Asia
Oman,assets/flags/asia/oman.png,Asia
Pakistan,assets/flags/asia/pakistan.png,Asia
Philippines,assets/flags/asia/philippines.png,Asia
Qatar,assets/flags/asia/qatar.png,Asia
Saudi Arabia,assets/flags/asia/saudi_arabia.png,Asia
Singapore,assets/flags/asia/singapore.png,Asia
South Korea,assets/flags/asia/south_korea.png,Asia
Sri Lanka,assets/flags/asia/sri_lanka.png,Asia
Syria,assets/flags/asia/syria.png,Asia
Taiwan,assets/flags/asia/taiwan.png,Asia
Tajikistan,assets/flags/asia/tajikistan.png,Asia
Thailand,assets/flags/asia/thailand.png,Asia
Timor-Leste,assets/flags/asia/timor_leste.png,Asia
Turkey,assets/flags/asia/turkey.png,Asia
Turkmenistan,assets/flags/asia/turkmenistan.png,Asia
UAE,assets/flags/asia/uae.png,Asia
Uzbekistan,assets/flags/asia/uzbekistan.png,Asia
Vietnam,assets/flags/asia/vietnam.png,Asia
Yemen,assets/flags/asia/yemen.png,Asia
Palestine,assets/flags/asia/palestine.png,Asia
Albania,assets/flags/europe/albania.png,Europe
Andorra,assets/flags/europe/andora.png,Europe
Austria,assets/flags/europe/austria.png,Europe
Belarus,assets/flags/europe/belarus.png,Europe
Belgium,assets/flags/europe/belgium.png,Europe
Bosnia and Herzegovina,assets/flags/europe/bosina_and_herzegovina.png,Europe
Bulgaria,assets/flags/europe/bulgaria.png,Europe
Croatia,assets/flags/europe/croatia.png,Europe
Cyprus,assets/flags/europe/cyprus.png,Europe
Czechia,assets/flags/europe/czechia.png,Europe
Denmark,assets/flags/europe/denmark.png,Europe
Estonia,assets/flags/europe/estonia.png,Europe
Finland,assets/flags/europe/finland.png,Europe
France,assets/flags/europe/france.png,Europe
Germany,assets/flags/europe/germany.png,Europe
